"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"XXII","22nd Century Group, Inc","2.62","156156422.56","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/xxii",
"FAX","Aberdeen Asia-Pacific Income Fund Inc","6.01","1603816147.28","n/a","1986","n/a","n/a","http://www.nasdaq.com/symbol/fax",
"IAF","Aberdeen Australia Equity Fund Inc","8.71","199679537.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/iaf",
"CH","Aberdeen Chile Fund, Inc.","9.2501","86826035.8997","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ch",
"ETF","Aberdeen Emerging Markets Smaller Company Opportunities Fund I","14.61","142662734.52","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/etf",
"FCO","Aberdeen Global Income Fund, Inc.","11.22","103174183.2","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/fco",
"IF","Aberdeen Indonesia Fund, Inc.","9.93","94188502.71","n/a","1990","n/a","n/a","http://www.nasdaq.com/symbol/if",
"ISL","Aberdeen Israel Fund, Inc.","17.77","73020839.4","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/isl",
"ACU","Acme United Corporation.","16.96","54884374.72","n/a","1988","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acu",
"ATNM","Actinium Pharmaceuticals, Inc.","6.03","169726795.92","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/atnm",
"AE","Adams Resources & Energy, Inc.","58.91","248458580.36","n/a","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ae",
"ADK","Adcare Health Systems Inc","4.75","84604815","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/adk",
"ADK^A","Adcare Health Systems Inc","27.29","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adk^a",
"API","Advanced Photonix, Inc.","0.568","21232642.584","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/api",
"ACY","AeroCentury Corp.","11.3001","17438958.4257","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/acy",
"AIRI","Air Industries Group","10.39","73729954.38","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/airi",
"AA^","Alcoa Inc.","86.14","0","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/aa^",
"AXX","Alderon Iron Ore Corp.","0.8799","114513852.5433","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axx",
"AXU","Alexco Resource Corp","0.9001","61813375.5898","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axu",
"ANV","Allied Nevada Gold Corp.","3.57","372112709.64","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/anv",
"AAU","Almaden Minerals, Ltd.","1.5","103092481.5","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aau",
"APT","Alpha Pro Tech, Ltd.","2.66","48300569.94","n/a","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/apt",
"ALTV","Alteva (D/B/A)","7.52","44994799.52","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/altv",
"AAMC","Altisource Asset Management Corp","702.15","1574692144.8","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/aamc",
